ID	type	label	popup	size	URL	description	short_name	Nsequences	Nfamilies	cdd_code
cdd_260137	cdd	alpha_CA	N/A	79.0615	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00012	N/A. Carbonic anhydrase alpha, isozyme IX. Carbonic anhydrases (CAs) are zinc-containing enzymes that catalyze the reversible hydration of carbon dioxide in a two-step mechanism: a nucleophilic attack of a zinc-bound hydroxide ion on carbon dioxide, followed by the regeneration of the active site by ionization of the zinc-bound water molecule and removal of a proton from the active site. They are ubiquitous enzymes involved in fundamental processes like photosynthesis, respiration, pH homeostasis and ion transport. There are three evolutionary distinct groups - alpha, beta and gamma carbonic anhydrases - which show no significant sequence identity or structural similarity. Alpha CAs are strictly monomeric enzymes. The zinc ion is complexed by three histidine residues. This sub-family comprises the membrane protein CA IX. CA IX is functionally implicated in tumor growth and survival. CA IX is mainly present in solid tumors and its expression in normal tissues is limited to the mucosa of alimentary tract. CA IX is a transmembrane protein with two extracellular domains: carbonic anhydrase and,  a proteoglycan-like segment mediating cell-cell adhesion. There is evidence for an involvement of the MAPK pathway in the regulation of CA9 expression.	alpha_CA	344	18	cl00012
cdd_261674	cdd	LIGANc	N/A	65.3082	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl03295	N/A. DNA ligases catalyse the crucial step of joining the breaks in duplex DNA during DNA replication, repair and recombination, utilizing either ATP or NAD(+) as a cofactor. This domain is the catalytic adenylation domain. The NAD+ group is covalently attached to this domain at the lysine in the KXDG motif of this domain. This enzyme- adenylate intermediate is an important feature of the proposed catalytic mechanism.	LIGANc	44	2	cl03295
cdd_265771	cdd	SAM_superfamily	SAM (Sterile alpha motif )	87.5172	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl15755	SAM (Sterile alpha motif ). It has been suggested that SAM is an evolutionarily conserved protein binding domain that is involved in the regulation of numerous developmental processes in diverse eukaryotes. The SAM domain can potentially function as a protein interaction module through its ability to homo- and heterooligomerise with other SAM domains.	SAM_superfamily	1218	126	cl15755
cdd_265774	cdd	Clp_protease_like	Caseinolytic protease (ClpP) is an ATP-dependent protease	85.3661	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl15763	Caseinolytic protease (ClpP) is an ATP-dependent protease. The Clp protease has an active site catalytic triad. In Escherichia coli Clp protease, ser-111, his-136 and asp-185 form the catalytic triad. Cyanophora parodoxa clpP-B has lost all of these active site residues and is therefore inactive. Some members contain one or two large insertions.	Clp_protease_like	883	24	cl15763
cdd_119389	cdd	HAD_like	Haloacid dehalogenase-like hydrolases	79.1963	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cd01427	Haloacid dehalogenase-like hydrolases. The haloacid dehalogenase-like (HAD) superfamily includes L-2-haloacid dehalogenase, epoxide hydrolase, phosphoserine phosphatase, phosphomannomutase, phosphoglycolate phosphatase, P-type ATPase, and many others, all of which use a nucleophilic aspartate in their phosphoryl transfer reaction. All members possess a highly conserved alpha/beta core domain, and many also possess a small cap domain, the fold and function of which is variable. Members of this superfamily are sometimes referred to as belonging to the DDDD superfamily of phosphohydrolases.	HAD_like	351	1	cd01427
cdd_260145	cdd	CH	N/A	66.5528	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00030	N/A. This domain is the N-terminal CH domain from the CAMSAP proteins.i	CH	53	5	cl00030
cdd_263730	cdd	ACT	ACT domains are commonly involved in specifically binding an amino acid or other small ligand leading to regulation of the enzyme	96.4881	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl09141	ACT domains are commonly involved in specifically binding an amino acid or other small ligand leading to regulation of the enzyme. The ACT domain is a structural motif of 70-90 amino acids that functions in the control of metabolizm, solute transport and signal transduction. They are thus found in a variety of different proteins in a variety of different arrangements. In mammalian phenylalanine hydroxylase the domain forms no contacts but promotes an allosteric effect despite the apparent lack of ligand binding.	ACT	4658	87	cl09141
cdd_265651	cdd	PLDc_SF	Catalytic domain of phospholipase D superfamily proteins	92.6399	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl15239	Catalytic domain of phospholipase D superfamily proteins. TrmB is an alpha-glucoside sensing transcriptional regulator. The protein is the transcriptional repressor for gene cluster encoding trehalose/maltose ABC transporter in T.litoralis and P.furiosus. TrmB has lost its DNA binding domain but retained its sugar recognition site. A nonreducing glucosyl residue is shared by all substrates bound to TrmB which suggests that its a common recognition motif.	PLDc_SF	2620	110	cl15239
cdd_263945	cdd	Tubulin_FtsZ	N/A	78.5987	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl10017	N/A. Human Misato shows similarity with Tubulin/FtsZ family of GTPases and is localized to the the outer membrane of mitochondria. It has a role in mitochondrial fusion and in mitochondrial distribution and morphology. Mutations in its Drosophila homolog (misato) lead to irregular chromosome segregation during mitosis. Deletion of the budding yeast homolog DML1 is lethal and unregulate expression of DML1 leads to mitochondrial dispersion and abnormalities in cell morphology. The Misato/DML1 protein family is conserved from yeast to human, but its exact function is still unknown.	Tubulin_FtsZ	321	11	cl10017
cdd_260152	cdd	CCP	Complement control protein (CCP) modules (aka short consensus repeats SCRs or SUSHI repeats) have been identified in several proteins of the complement system	77.8500	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00043	Complement control protein (CCP) modules (aka short consensus repeats SCRs or SUSHI repeats) have been identified in several proteins of the complement system. The complement control protein (CCP) modules (also known as short consensus repeats SCRs or SUSHI repeats) contain approximately 60 amino acid residues and have been identified in several proteins of the complement system. A missense mutation in seventh CCP domain causes deficiency of the b subunit of factor XIII.	CCP	287	3	cl00043
cdd_260155	cdd	CAP_ED	N/A	77.9655	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00047	N/A. Catabolite gene activator protein (CAP) is a prokaryotic homologue of eukaryotic cNMP-binding domains, present in ion channels, and cNMP-dependent kinases.	CAP_ED	292	3	cl00047
cdd_260156	cdd	CUB	N/A	78.0111	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00049	N/A. This domain is found mostly among developmentally-regulated proteins. Spermadhesins contain only this domain.	CUB	294	3	cl00049
cdd_260159	cdd	DSPc	N/A	66.2956	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00053	N/A. Inositol hexakisphosphate, often called phytate, is found in abundance in seeds and acting as an inorganic phosphate reservoir. Phytases are phosphatases that hydrolyze phytate to less-phosphorylated myo-inositol derivatives and inorganic phosphate. The active-site sequence (HCXXGXGR) of the phytase identified from the gut micro-organism Selenomonas ruminantium forms a loop (P loop) at the base of a substrate binding pocket that is characteristic of protein tyrosine phosphatases (PTPs). The depth of this pocket is an important determinant of the substrate specificity of PTPs. In humans this enzyme is thought to aid bone mineralization and salvage the inositol moiety prior to apoptosis.	DSPc	51	10	cl00053
cdd_260163	cdd	vWFA	N/A	83.8605	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00057	N/A. This is a uncharacterized domain found in eukaryotes and viruses.	vWFA	705	50	cl00057
cdd_238006	cdd	PTPc	Protein tyrosine phosphatases (PTP) catalyze the dephosphorylation of phosphotyrosine peptides; they regulate phosphotyrosine levels in signal transduction pathways	70.8654	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cd00047	Protein tyrosine phosphatases (PTP) catalyze the dephosphorylation of phosphotyrosine peptides; they regulate phosphotyrosine levels in signal transduction pathways. The depth of the active site cleft renders the enzyme specific for phosphorylated Tyr (pTyr) residues, instead of pSer or pThr. This family has a distinctive active site signature motif, HCSAGxGRxG. Characterized as either transmembrane, receptor-like or non-transmembrane (soluble) PTPs. Receptor-like PTP domains tend to occur in two copies in the cytoplasmic region of the transmembrane proteins, only one copy may be active.	PTPc	101	1	cd00047
cdd_260167	cdd	ZnMc	N/A	82.7260	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00064	N/A. This zinc-binding metallo-peptidase has the characteristic binding motif HExxGHxxGxxH of Reprolysin-like peptidases of family M12B.	ZnMc	595	24	cl00064
cdd_260683	cdd	Cu-Zn_Superoxide_Dismutase	N/A	68.1205	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00891	N/A. superoxide dismutases (SODs) catalyse the conversion of superoxide radicals to hydrogen peroxide and molecular oxygen. Three evolutionarily distinct families of SODs are known, of which the copper/zinc-binding family is one. Defects in the human SOD1 gene cause familial amyotrophic lateral sclerosis (Lou Gehrig's disease). Structure is an eight-stranded beta sandwich, similar to the immunoglobulin fold.	Cu-Zn_Superoxide_Dismutase	67	7	cl00891
cdd_212556	cdd	SANT_DMAP1_like	SANT/myb-like domain of Human Dna Methyltransferase 1 Associated Protein 1-like	53.9071	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cd11658	SANT/myb-like domain of Human Dna Methyltransferase 1 Associated Protein 1-like. These proteins are members of the SANT/myb group. SANT is named after 'SWI3, ADA2, N-CoR and TFIIIB', several factors that share this domain. The SANT domain resembles the 3 alpha-helix bundle of the DNA-binding Myb domains and is found in a diverse set of proteins.	SANT_DMAP1_like	8	1	cd11658
cdd_261709	cdd	Peptidase_G1_like	Peptidases of the G1 family and homologs that might lack peptidase activity	73.0491	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl03371	Peptidases of the G1 family and homologs that might lack peptidase activity. This family of proteins is found in bacteria. Proteins in this family are typically between 236 and 351 amino acids in length. The member from Bacillus subtilis, UniProtKB:O05411, is named YrpD.	Peptidase_G1_like	140	5	cl03371
cdd_212558	cdd	SANT_TRF	Telomere repeat binding factor-like DNA-binding domains of the SANT/myb-like family	70.3850	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cd11660	Telomere repeat binding factor-like DNA-binding domains of the SANT/myb-like family. Human telomere repeat binding factors, TRF1 and TRF2, function as part of the 6 component shelterin complex. TRF2 binds DNA and recruits RAP1 (via binding to the RAP1 protein c-terminal (RCT)) and TIN2 in the protection of telomeres from DNA repair machinery. Metazoan shelterin consists of 3 DNA binding proteins (TRF2, TRF1, and POT1) and 3 recruited proteins that bind to one or more of these DNA-binding proteins (RAP1, TIN2, TPP1).  Schizosaccharomyces pombe TAZ1 is an orthlog and binds RAP1. Human TRF1 and TRF2 bind double-stranded DNA. hTRF2 consists of a basic N-terminus, a TRF homology domain, the RAP1 binding motif (RBM), the TIN2 binding motif (TBM) and a myb-like DNA binding domain, SANT, named after 'SWI3, ADA2, N-CoR and TFIIIB', several factors that share this domain. Tandem copies of the domain bind telomeric DNA tandem repeats as part of the capping complex. The single myb-like domain of TRF-type proteins is similar to the tandem myb_like domains found in yeast RAP1.	SANT_TRF	94	1	cd11660
cdd_260175	cdd	HATPase_c	N/A	81.3312	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00075	N/A. This family represents the structurally related ATPase domains of histidine kinase, DNA gyrase B and HSP90.	HATPase_c	483	11	cl00075
cdd_261304	cdd	RasGEF	N/A	62.7468	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl02485	N/A. Guanine nucleotide exchange factor for Ras-like small GTPases.	RasGEF	30	3	cl02485
cdd_260179	cdd	HMG-box	N/A	79.4026	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00082	N/A. Nucleolar transcription factor/upstream binding factor contains six HMG box domains. This is the fifth HMG box domain in these proteins. This domain has lost DNA-binding ability.	HMG-box	362	9	cl00082
cdd_260181	cdd	homeodomain	N/A	78.5149	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00084	N/A. This is a homeobox transcription factor KN domain conserved from fungi to human and plants.	homeodomain	317	4	cl00084
cdd_260185	cdd	NUC	N/A	62.7468	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00089	N/A. DNA/RNA endonuclease G, NUC1 [Nucleotide transport and metabolism]	NUC	30	5	cl00089
cdd_260187	cdd	IRF	N/A	61.7898	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00096	N/A. This family of transcription factors are important in the regulation of interferons in response to infection by virus and in the regulation of interferon-inducible genes. Three of the five conserved tryptophan residues bind to DNA.	IRF	26	3	cl00096
cdd_260188	cdd	KAZAL_FS	N/A	79.1580	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00097	N/A. Usually indicative of serine protease inhibitors. However, kazal-like domains are also seen in the extracellular part of agrins, which are not known to be protease inhibitors. Kazal domains often occur in tandem arrays. Small alpha+beta fold containing three disulphides.	KAZAL_FS	349	7	cl00097
cdd_260189	cdd	KH-II	N/A	82.0026	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00098	N/A. jag_K homology RNA-binding domain. The KH domain is found in proteins homologous to the Bacillus subtilis protein Jag, which is associated with SpoIIIJ and is necessary for the third stage of sporulation.  The KH motif is a beta-alpha-alpha-beta-beta unit that folds into an alpha-beta structure with a three stranded beta-sheet interupted by two contiguous helices. In general, KH binds single-stranded RNA or DNA. It is found in a wide variety of proteins including ribosomal proteins, transcription factors and post-transcriptional modifiers of mRNA.	KH-II	534	13	cl00098
cdd_264805	cdd	Chs5_N	N-terminal dimerization domain of Chs5 and similar proteins	61.7898	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl12761	N-terminal dimerization domain of Chs5 and similar proteins. This family of proteins has no known function.	Chs5_N	26	2	cl12761
cdd_260339	cdd	TP_methylase	S-AdoMet dependent tetrapyrrole methylases	88.4150	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00304	S-AdoMet dependent tetrapyrrole methylases. This family uses S-AdoMet in the methylation of diverse substrates. This family includes a related group of bacterial proteins of unknown function. This family includes the methylase Dipthine synthase.	TP_methylase	1393	42	cl00304
cdd_260196	cdd	LysM	Lysine Motif is a small domain involved in binding peptidoglycan	92.0477	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00107	Lysine Motif is a small domain involved in binding peptidoglycan. The LysM (lysin motif) domain is about 40 residues long. It is found in a variety of enzymes involved in bacterial cell wall degradation. This domain may have a general peptidoglycan binding function. The structure of this domain is known.	LysM	2398	5	cl00107
cdd_265440	cdd	Aldose_epim	aldose 1-epimerase superfamily	83.0870	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl14648	aldose 1-epimerase superfamily. aldolase 1-epimerase; Provisional	Aldose_epim	628	18	cl14648
cdd_266613	cdd	HemeO	N/A	64.9971	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl17299	N/A. Heme oxygenase [Inorganic ion transport and metabolism]	HemeO	42	5	cl17299
cdd_260201	cdd	PDZ	N/A	83.9265	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00117	N/A. This domain is the PDZ domain of tricorn protease.	PDZ	712	12	cl00117
cdd_260455	cdd	UDG_like	Uracil-DNA glycosylases (UDG) and related enzymes	83.2863	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00483	Uracil-DNA glycosylases (UDG) and related enzymes. uracil-DNA glycosylase; Provisional	UDG_like	647	28	cl00483
cdd_261741	cdd	M35_like	Peptidase M35 family	72.7562	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl03449	Peptidase M35 family. This is the catalytic region of aspzincins, a group of lysine-specific metallo-endopeptidases in the MEROPS:M35 family. They exhibit the following active-site architecture. The active site is composed of two helices and a loop region and includes the HExxH and GTxDxxYG motifs. In UniProt:P81054, His117, His121 and Asp130 coordinate to the catalytic zinc ligands. An electrostatically negative region composed of Asp154 and Glu157 attracts a positively charged Lys side chain of a substrate in a specific manner.	M35_like	134	9	cl03449
cdd_260207	cdd	PseudoU_synth	Pseudouridine synthases catalyze the isomerization of specific uridines in an RNA molecule to pseudouridines (5-ribosyluracil, psi)	86.7562	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00130	Pseudouridine synthases catalyze the isomerization of specific uridines in an RNA molecule to pseudouridines (5-ribosyluracil, psi). TruD is responsible for synthesis of pseudouridine from uracil-13 in transfer RNAs. The structure of TruD reveals an overall V-shaped molecule which contains an RNA-binding cleft.	PseudoU_synth	1087	38	cl00130
cdd_260363	cdd	NDPk	N/A	74.9492	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00335	N/A. Nucleoside diphosphate kinase homolog 5 (NDP kinase homolog 5, NDPk5, NM23-H5; Inhibitor of p53-induced apoptosis-beta, IPIA-beta): In human, mRNA for NDPk5 is almost exclusively found in testis, especially in the flagella of spermatids and spermatozoa, in association with axoneme microtubules, and may play a role in spermatogenesis by increasing the ability of late-stage spermatids to eliminate reactive oxygen species.  It belongs to the nm23 Group II genes and appears to differ from the other human NDPks in that it lacks two important catalytic site residues, and thus does not appear to possess NDP kinase activity. NDPk5 confers protection from cell death by Bax and alters the cellular levels of several antioxidant enzymes, including glutathione peroxidase 5 (Gpx5).	NDPk	186	16	cl00335
cdd_187839	cdd	Csf4_U	CRISPR/Cas system-associated DinG family helicase Csf4	47.3474	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cd09708	CRISPR/Cas system-associated DinG family helicase Csf4. CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) and associated Cas proteins comprise a system for heritable host defense by prokaryotic cells against phage and other foreign DNA; DinG family DNA helicase	Csf4_U	3	1	cd09708
cdd_260138	cdd	Lyase_I_like	Lyase class I_like superfamily: contains the lyase class I family, histidine ammonia-lyase and phenylalanine ammonia-lyase, which catalyze similar beta-elimination reactions	88.3183	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00013	Lyase class I_like superfamily: contains the lyase class I family, histidine ammonia-lyase and phenylalanine ammonia-lyase, which catalyze similar beta-elimination reactions. histidine ammonia-lyase; Provisional	Lyase_I_like	1373	18	cl00013
cdd_260226	cdd	fer2	N/A	75.2652	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00159	N/A. The 2Fe-2S ferredoxin family have a general core structure consisting of beta(2)-alpha-beta(2) which a beta-grasp type fold. The domain is around one hundred amino acids with four conserved cysteine residues to which the 2Fe-2S cluster is ligated. This cluster appears within sarcosine oxidase proteins.	fer2	195	10	cl00159
cdd_260227	cdd	LbetaH	N/A	89.5797	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00160	N/A. wcaF-like: This group is composed of the protein product of the E. coli wcaF gene and similar proteins. WcaF is part of the gene cluster responsible for the biosynthesis of the extracellular polysaccharide colanic acid. The wcaF protein is predicted to contain a left-handed parallel beta-helix (LbH) domain encoded by imperfect tandem repeats of a hexapeptide repeat motif (X-[STAV]-X-[LIV]-[GAED]-X). Proteins containing hexapeptide repeats are often enzymes showing acyltransferase activity. Many are trimeric in their active forms.	LbetaH	1658	26	cl00160
cdd_267400	cdd	LabA_like_C	C-terminal domain of LabA_like proteins	76.1625	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl19047	C-terminal domain of LabA_like proteins. A predicted RNA-binding domain found in insect Oskar and vertebrate TDRD5/TDRD7 proteins that nucleate or organize structurally related ribonucleoprotein (RNP) complexes, the polar granule and nuage, is poorly understood. The domain adopts the winged helix-turn- helix fold and bind RNA with a potential specificity for dsRNA.In eukaryotes this domain is often combined in the same polypeptide with protein-protein- or lipid- interaction domains that might play a role in anchoring these proteins to specific cytoskeletal structures. Thus, proteins with this domain might have a key role in the recognition and localization of dsRNA, including miRNAs, rasiRNAs and piRNAs hybridized to their targets. In other cases, this domain is fused to ubiquitin-binding, E3 ligase and ubiquitin-like domains indicating a previously under-appreciated role for ubiquitination in regulating the assembly and stability of nuage-like RNP complexes. Both bacteria and eukaryotes encode a conserved family of proteins that combines this predicted RNA-binding domain with a previously uncharacterized RNAse domain belonging to the superfamily that includes the 5'->3' nucleases, PIN and NYN domains.	LabA_like_C	223	2	cl19047
cdd_260235	cdd	alpha-crystallin-Hsps_p23-like	alpha-crystallin domain (ACD) found in alpha-crystallin-type small heat shock proteins, and a similar domain found in p23 (a cochaperone for Hsp90) and in other p23-like proteins	93.4762	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00175	alpha-crystallin domain (ACD) found in alpha-crystallin-type small heat shock proteins, and a similar domain found in p23 (a cochaperone for Hsp90) and in other p23-like proteins. The CS and CHORD (pfam04968) are fused into a single polypeptide chain in metazoans but are found in separate proteins in plants; this is thought to be indicative of an interaction between CS and CHORD. It has been suggested that the CS domain is a binding module for HSP90, implying that CS domain-containing proteins are involved in recruiting heat shock proteins to multiprotein assemblies. Two CS domains are found at the C-terminus of Ubiquitin carboxyl-terminal hydrolase 19 (USP19), these domains may play a role in the interaction of USP19 with cellular inhibitor of apoptosis 2.	alpha-crystallin-Hsps_p23-like	2969	34	cl00175
cdd_260205	cdd	RHOD	N/A	83.8889	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl00125	N/A. Rhodanese has an internal duplication. This Pfam represents a single copy of this duplicated domain. The domain is found as a single copy in other proteins, including phosphatases and ubiquitin C-terminal hydrolases.	RHOD	708	35	cl00125
cdd_267411	cdd	alkPPc	N/A	62.5201	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl19058	N/A. alkaline phosphatase; Provisional	alkPPc	29	4	cl19058
